metric,value,old_lad_code,new_lad_code,lsoa_code,csp_code
assigned_lsoa,12,,,E01000191,E22000187
assigned_lsoa,49,,,E01000192,E22000187
assigned_lsoa,272,,,E01000193,E22000187
assigned_lsoa,39,,,E01000194,E22000187
assigned_lsoa,40,,,E01000195,E22000187
assigned_lsoa,64,,,E01000196,E22000187
assigned_lsoa,87,,,E01000197,E22000187
assigned_lsoa,17,,,E01000198,E22000187
assigned_lsoa,6,,,E01000199,E22000187
assigned_lsoa,25,,,E01000200,E22000187
assigned_lsoa,29,,,E01000201,E22000187
assigned_lsoa,19,,,E01000202,E22000187
assigned_lsoa,55,,,E01000203,E22000187
assigned_lsoa,57,,,E01000204,E22000187
assigned_lsoa,25,,,E01000205,E22000187
assigned_lsoa,16,,,E01000206,E22000187
assigned_lsoa,17,,,E01000207,E22000187
assigned_lsoa,26,,,E01000208,E22000187
assigned_lsoa,7,,,E01000209,E22000187
assigned_lsoa,12,,,E01000210,E22000187
assigned_lsoa,94,,,E01000211,E22000187
assigned_lsoa,29,,,E01000212,E22000187
assigned_lsoa,24,,,E01000213,E22000187
assigned_lsoa,14,,,E01000214,E22000187
assigned_lsoa,29,,,E01000215,E22000187
assigned_lsoa,17,,,E01000216,E22000187
assigned_lsoa,51,,,E01000217,E22000187
assigned_lsoa,31,,,E01000218,E22000187
assigned_lsoa,25,,,E01000219,E22000187
assigned_lsoa,18,,,E01000220,E22000187
assigned_lsoa,85,,,E01000221,E22000187
assigned_lsoa,37,,,E01000222,E22000187
assigned_lsoa,94,,,E01000223,E22000187
assigned_lsoa,78,,,E01000224,E22000187
assigned_lsoa,26,,,E01000225,E22000187
assigned_lsoa,23,,,E01000226,E22000187
assigned_lsoa,18,,,E01000227,E22000187
assigned_lsoa,26,,,E01000228,E22000187
assigned_lsoa,17,,,E01000229,E22000187
assigned_lsoa,14,,,E01000230,E22000187
assigned_lsoa,31,,,E01000231,E22000187
assigned_lsoa,48,,,E01000232,E22000187
assigned_lsoa,22,,,E01000233,E22000187
assigned_lsoa,33,,,E01000234,E22000187
assigned_lsoa,43,,,E01000235,E22000187
assigned_lsoa,30,,,E01000236,E22000187
assigned_lsoa,24,,,E01000237,E22000187
assigned_lsoa,30,,,E01000238,E22000187
assigned_lsoa,65,,,E01000239,E22000187
assigned_lsoa,14,,,E01000240,E22000187
assigned_lsoa,69,,,E01000241,E22000187
assigned_lsoa,33,,,E01000242,E22000187
assigned_lsoa,87,,,E01000243,E22000187
assigned_lsoa,51,,,E01000244,E22000187
assigned_lsoa,98,,,E01000245,E22000187
assigned_lsoa,26,,,E01000246,E22000187
assigned_lsoa,38,,,E01000247,E22000187
assigned_lsoa,44,,,E01000248,E22000187
assigned_lsoa,7,,,E01000249,E22000187
assigned_lsoa,141,,,E01000250,E22000187
assigned_lsoa,80,,,E01000251,E22000187
assigned_lsoa,16,,,E01000252,E22000187
assigned_lsoa,21,,,E01000253,E22000187
assigned_lsoa,23,,,E01000254,E22000187
assigned_lsoa,22,,,E01000255,E22000187
assigned_lsoa,27,,,E01000256,E22000187
assigned_lsoa,77,,,E01000257,E22000187
assigned_lsoa,27,,,E01000258,E22000187
assigned_lsoa,19,,,E01000259,E22000187
assigned_lsoa,38,,,E01000260,E22000187
assigned_lsoa,10,,,E01000261,E22000187
assigned_lsoa,13,,,E01000263,E22000187
assigned_lsoa,69,,,E01000264,E22000187
assigned_lsoa,25,,,E01000265,E22000187
assigned_lsoa,18,,,E01000266,E22000187
assigned_lsoa,8,,,E01000267,E22000187
assigned_lsoa,15,,,E01000268,E22000187
assigned_lsoa,51,,,E01000269,E22000187
assigned_lsoa,39,,,E01000270,E22000187
assigned_lsoa,9,,,E01000271,E22000187
assigned_lsoa,7,,,E01000272,E22000187
assigned_lsoa,40,,,E01000273,E22000187
assigned_lsoa,26,,,E01000274,E22000187
assigned_lsoa,4,,,E01000275,E22000187
assigned_lsoa,11,,,E01000276,E22000187
assigned_lsoa,49,,,E01000277,E22000187
assigned_lsoa,9,,,E01000278,E22000187
assigned_lsoa,16,,,E01000279,E22000187
assigned_lsoa,6,,,E01000280,E22000187
assigned_lsoa,26,,,E01000281,E22000187
assigned_lsoa,6,,,E01000282,E22000187
assigned_lsoa,10,,,E01000283,E22000187
assigned_lsoa,79,,,E01000284,E22000187
assigned_lsoa,21,,,E01000285,E22000187
assigned_lsoa,37,,,E01000286,E22000187
assigned_lsoa,20,,,E01000287,E22000187
assigned_lsoa,16,,,E01000288,E22000187
assigned_lsoa,18,,,E01000289,E22000187
assigned_lsoa,19,,,E01000290,E22000187
assigned_lsoa,32,,,E01000291,E22000187
assigned_lsoa,26,,,E01000292,E22000187
assigned_lsoa,6,,,E01000293,E22000187
assigned_lsoa,82,,,E01000294,E22000187
assigned_lsoa,43,,,E01000295,E22000187
assigned_lsoa,63,,,E01000296,E22000187
assigned_lsoa,24,,,E01000297,E22000187
assigned_lsoa,48,,,E01000298,E22000187
assigned_lsoa,167,,,E01000299,E22000187
assigned_lsoa,52,,,E01000300,E22000187
assigned_lsoa,18,,,E01000301,E22000187
assigned_lsoa,35,,,E01000302,E22000187
assigned_lsoa,20,,,E01000303,E22000187
assigned_lsoa,15,,,E01000304,E22000187
assigned_lsoa,70,,,E01000305,E22000187
assigned_lsoa,28,,,E01000306,E22000187
assigned_lsoa,141,,,E01000307,E22000187
assigned_lsoa,96,,,E01000308,E22000187
assigned_lsoa,16,,,E01000309,E22000187
assigned_lsoa,57,,,E01000310,E22000187
assigned_lsoa,33,,,E01000311,E22000187
assigned_lsoa,46,,,E01000312,E22000187
assigned_lsoa,67,,,E01000313,E22000187
assigned_lsoa,86,,,E01000314,E22000187
assigned_lsoa,43,,,E01000315,E22000187
assigned_lsoa,71,,,E01000316,E22000187
assigned_lsoa,24,,,E01000317,E22000187
assigned_lsoa,18,,,E01000318,E22000187
assigned_lsoa,22,,,E01000319,E22000187
assigned_lsoa,8,,,E01000320,E22000187
assigned_lsoa,10,,,E01000321,E22000187
assigned_lsoa,47,,,E01000322,E22000187
assigned_lsoa,47,,,E01000323,E22000187
assigned_lsoa,33,,,E01000324,E22000187
assigned_lsoa,10,,,E01000325,E22000188
assigned_lsoa,9,,,E01000326,E22000188
assigned_lsoa,7,,,E01000327,E22000188
assigned_lsoa,10,,,E01000328,E22000188
assigned_lsoa,37,,,E01000329,E22000188
assigned_lsoa,61,,,E01000330,E22000188
assigned_lsoa,16,,,E01000331,E22000188
assigned_lsoa,20,,,E01000332,E22000188
assigned_lsoa,53,,,E01000333,E22000188
assigned_lsoa,26,,,E01000334,E22000188
assigned_lsoa,68,,,E01000335,E22000188
assigned_lsoa,52,,,E01000336,E22000188
assigned_lsoa,19,,,E01000337,E22000188
assigned_lsoa,28,,,E01000338,E22000188
assigned_lsoa,10,,,E01000339,E22000188
assigned_lsoa,6,,,E01000340,E22000188
assigned_lsoa,16,,,E01000341,E22000188
assigned_lsoa,22,,,E01000342,E22000188
assigned_lsoa,32,,,E01000343,E22000188
assigned_lsoa,13,,,E01000344,E22000188
assigned_lsoa,7,,,E01000345,E22000188
assigned_lsoa,24,,,E01000346,E22000188
assigned_lsoa,18,,,E01000347,E22000188
assigned_lsoa,4,,,E01000348,E22000188
assigned_lsoa,11,,,E01000349,E22000188
assigned_lsoa,17,,,E01000350,E22000188
assigned_lsoa,6,,,E01000351,E22000188
assigned_lsoa,19,,,E01000352,E22000188
assigned_lsoa,12,,,E01000353,E22000188
assigned_lsoa,21,,,E01000354,E22000188
assigned_lsoa,11,,,E01000355,E22000188
assigned_lsoa,16,,,E01000356,E22000188
assigned_lsoa,9,,,E01000357,E22000188
assigned_lsoa,31,,,E01000358,E22000188
assigned_lsoa,7,,,E01000359,E22000188
assigned_lsoa,44,,,E01000360,E22000188
assigned_lsoa,11,,,E01000361,E22000188
assigned_lsoa,205,,,E01000362,E22000188
assigned_lsoa,28,,,E01000363,E22000188
assigned_lsoa,18,,,E01000364,E22000188
assigned_lsoa,23,,,E01000365,E22000188
assigned_lsoa,16,,,E01000366,E22000188
assigned_lsoa,18,,,E01000367,E22000188
assigned_lsoa,16,,,E01000368,E22000188
assigned_lsoa,10,,,E01000369,E22000188
assigned_lsoa,22,,,E01000370,E22000188
assigned_lsoa,15,,,E01000371,E22000188
assigned_lsoa,23,,,E01000372,E22000188
assigned_lsoa,7,,,E01000373,E22000188
assigned_lsoa,35,,,E01000374,E22000188
assigned_lsoa,22,,,E01000375,E22000188
assigned_lsoa,12,,,E01000376,E22000188
assigned_lsoa,19,,,E01000377,E22000188
assigned_lsoa,28,,,E01000379,E22000188
assigned_lsoa,18,,,E01000380,E22000188
assigned_lsoa,31,,,E01000381,E22000188
assigned_lsoa,5,,,E01000382,E22000188
assigned_lsoa,61,,,E01000383,E22000188
assigned_lsoa,24,,,E01000384,E22000188
assigned_lsoa,30,,,E01000385,E22000188
assigned_lsoa,26,,,E01000386,E22000188
assigned_lsoa,23,,,E01000387,E22000188
assigned_lsoa,14,,,E01000388,E22000188
assigned_lsoa,19,,,E01000389,E22000188
assigned_lsoa,27,,,E01000390,E22000188
assigned_lsoa,16,,,E01000391,E22000188
assigned_lsoa,51,,,E01000392,E22000188
