bua_code,bua_name,standardisation_country,air_burden,no2_ug_m3,pm25_ug_m3,pm10_ug_m3,noise_exposed_pct,green_within_300m_pct,green_area_within_1000m_m2,epc_sap_mean,air_percentile,quiet_percentile,green_percentile,housing_environment_percentile,environment_index_0_100,national_percentile,score,air_period,quiet_period,green_period,housing_environment_period,air_evidence_id,quiet_evidence_id,green_evidence_id,housing_environment_evidence_id,geography_code,geography_vintage,air_population_covered,quiet_population_covered,green_population_covered,housing_environment_population_covered,population_expected,method_version,confidence,reason,exclusion_reason
E63011154,Winchcombe,England,0.7939,4.662,6.237,10.022,31.315,55.289,53459.70,63.104,86.740,66.702,12.227,10.185,43.964,36.907,2,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,,April 2024,4339,4339,4339,4339,4339,residential-environment-bua24-v3-country-calibrated,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, green space uses current OA origins and the union of eligible OS Open Greenspace polygons, and quiet and housing use population-weighted within-country percentile calibration.",
E63011155,Fordham (Colchester),England,0.9467,6.575,6.875,12.117,41.600,68.014,17538.40,59.384,65.830,24.359,23.028,2.474,28.922,7.062,1,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,,April 2024,841,841,841,841,841,residential-environment-bua24-v3-country-calibrated,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, green space uses current OA origins and the union of eligible OS Open Greenspace polygons, and quiet and housing use population-weighted within-country percentile calibration.",
E63011156,Wakes Colne,England,0.9407,6.514,6.826,12.080,39.400,100.000,10249.96,55.094,66.945,30.249,50.856,0.891,37.235,18.452,1,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,,April 2024,218,218,218,218,218,residential-environment-bua24-v3-country-calibrated,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, green space uses current OA origins and the union of eligible OS Open Greenspace polygons, and quiet and housing use population-weighted within-country percentile calibration.",
E63011158,Toddington (Central Bedfordshire),England,0.9703,7.127,6.998,11.979,37.016,63.939,39341.50,63.847,62.532,39.609,18.969,19.982,35.273,16.068,1,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,,April 2024,4509,4509,4509,4509,4509,residential-environment-bua24-v3-country-calibrated,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, green space uses current OA origins and the union of eligible OS Open Greenspace polygons, and quiet and housing use population-weighted within-country percentile calibration.",
E63011160,Mursley,England,0.9038,6.185,6.742,11.168,25.200,0.000,30189.43,64.840,73.832,88.707,3.723,33.053,49.829,53.231,3,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,,April 2024,721,721,721,721,721,residential-environment-bua24-v3-country-calibrated,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, green space uses current OA origins and the union of eligible OS Open Greenspace polygons, and quiet and housing use population-weighted within-country percentile calibration.",
E63011161,Duns Tew,England,0.8293,4.598,6.433,11.121,36.400,44.915,2960.66,58.312,83.611,41.546,3.565,1.993,32.679,12.817,1,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,,April 2024,472,472,472,472,472,residential-environment-bua24-v3-country-calibrated,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, green space uses current OA origins and the union of eligible OS Open Greenspace polygons, and quiet and housing use population-weighted within-country percentile calibration.",
E63011162,Apperley,England,0.7705,4.917,5.904,9.584,31.970,100.000,29387.50,60.939,89.196,63.137,52.850,3.547,52.182,56.838,3,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,,April 2024,590,590,590,590,590,residential-environment-bua24-v3-country-calibrated,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, green space uses current OA origins and the union of eligible OS Open Greenspace polygons, and quiet and housing use population-weighted within-country percentile calibration.",
E63011163,Streatley (Central Bedfordshire),England,0.9927,7.305,7.035,12.610,21.100,0.000,117894.50,61.712,58.829,96.362,14.354,5.235,43.695,36.360,2,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,,April 2024,588,588,588,588,588,residential-environment-bua24-v3-country-calibrated,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, green space uses current OA origins and the union of eligible OS Open Greenspace polygons, and quiet and housing use population-weighted within-country percentile calibration.",
E63011165,Henham,England,0.9511,6.669,6.829,12.312,44.200,0.000,13723.28,65.412,65.399,18.796,1.917,44.597,32.677,12.816,1,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,,April 2024,1046,1046,1046,1046,1046,residential-environment-bua24-v3-country-calibrated,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, green space uses current OA origins and the union of eligible OS Open Greenspace polygons, and quiet and housing use population-weighted within-country percentile calibration.",
E63011166,Drayton Parslow,England,0.9181,6.055,6.786,11.873,32.000,100.000,19242.63,70.104,71.340,63.114,51.652,97.076,70.796,90.504,5,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,,April 2024,665,665,665,665,665,residential-environment-bua24-v3-country-calibrated,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, green space uses current OA origins and the union of eligible OS Open Greenspace polygons, and quiet and housing use population-weighted within-country percentile calibration.",
