force_name,month,asb_count
Lincolnshire Police,2025-11,1181
Lincolnshire Police,2025-12,1154
Lincolnshire Police,2026-01,1186
Lincolnshire Police,2026-02,1069
Lincolnshire Police,2026-03,1450
Merseyside Police,2025-04,1343
Merseyside Police,2025-05,1377
Merseyside Police,2025-06,1212
Merseyside Police,2025-07,1194
Merseyside Police,2025-08,1291
Merseyside Police,2025-09,1156
Merseyside Police,2025-10,1658
Merseyside Police,2025-11,1249
Merseyside Police,2025-12,972
Merseyside Police,2026-01,1005
Merseyside Police,2026-02,1047
Merseyside Police,2026-03,1298
Metropolitan Police Service,2025-04,19454
Metropolitan Police Service,2025-05,21562
Metropolitan Police Service,2025-06,22434
Metropolitan Police Service,2025-07,24310
Metropolitan Police Service,2025-08,22546
Metropolitan Police Service,2025-09,18753
Metropolitan Police Service,2025-10,20793
Metropolitan Police Service,2025-11,18152
Metropolitan Police Service,2025-12,16704
Metropolitan Police Service,2026-01,16284
Metropolitan Police Service,2026-02,16316
Metropolitan Police Service,2026-03,18664
Norfolk Constabulary,2025-04,797
Norfolk Constabulary,2025-05,819
Norfolk Constabulary,2025-06,818
Norfolk Constabulary,2025-07,873
Norfolk Constabulary,2025-08,825
Norfolk Constabulary,2025-09,649
Norfolk Constabulary,2025-10,704
Norfolk Constabulary,2025-11,532
Norfolk Constabulary,2025-12,579
Norfolk Constabulary,2026-01,550
Norfolk Constabulary,2026-02,605
Norfolk Constabulary,2026-03,767
North Wales Police,2025-04,1108
North Wales Police,2025-05,1170
North Wales Police,2025-06,1038
North Wales Police,2025-07,1271
North Wales Police,2025-08,1269
North Wales Police,2025-09,983
North Wales Police,2025-10,995
North Wales Police,2025-11,906
North Wales Police,2025-12,815
North Wales Police,2026-01,919
North Wales Police,2026-02,957
North Wales Police,2026-03,1178
North Yorkshire Police,2025-04,1469
North Yorkshire Police,2025-05,1515
North Yorkshire Police,2025-06,1488
North Yorkshire Police,2025-07,1581
North Yorkshire Police,2025-08,1652
North Yorkshire Police,2025-09,1338
North Yorkshire Police,2025-10,1370
North Yorkshire Police,2025-11,1210
North Yorkshire Police,2025-12,900
North Yorkshire Police,2026-01,907
North Yorkshire Police,2026-02,892
North Yorkshire Police,2026-03,1180
Northamptonshire Police,2025-04,1293
Northamptonshire Police,2025-05,1431
Northamptonshire Police,2025-06,1582
Northamptonshire Police,2025-07,1801
Northamptonshire Police,2025-08,1591
Northamptonshire Police,2025-09,1218
Northamptonshire Police,2025-10,1355
Northamptonshire Police,2025-11,1036
Northamptonshire Police,2025-12,1000
Northamptonshire Police,2026-01,1094
Northamptonshire Police,2026-02,1143
Northamptonshire Police,2026-03,1425
Northumbria Police,2025-04,2584
Northumbria Police,2025-05,2791
Northumbria Police,2025-06,2495
Northumbria Police,2025-07,2792
Northumbria Police,2025-08,2766
Northumbria Police,2025-09,2556
Northumbria Police,2025-10,2723
Northumbria Police,2025-11,2124
Northumbria Police,2025-12,1728
Northumbria Police,2026-01,1778
Northumbria Police,2026-02,1876
Northumbria Police,2026-03,2455
Nottinghamshire Police,2025-04,1800
Nottinghamshire Police,2025-05,1832
Nottinghamshire Police,2025-06,1813
Nottinghamshire Police,2025-07,1998
Nottinghamshire Police,2025-08,1904
Nottinghamshire Police,2025-09,1628
Nottinghamshire Police,2025-10,1788
Nottinghamshire Police,2025-11,1571
Nottinghamshire Police,2025-12,1366
Nottinghamshire Police,2026-01,1441
Nottinghamshire Police,2026-02,1448
Nottinghamshire Police,2026-03,1817
Police Service of Northern Ireland,2025-04,4038
Police Service of Northern Ireland,2025-05,4174
Police Service of Northern Ireland,2025-06,3816
Police Service of Northern Ireland,2025-07,4389
Police Service of Northern Ireland,2025-08,4297
Police Service of Northern Ireland,2025-09,3642
Police Service of Northern Ireland,2025-10,3953
Police Service of Northern Ireland,2025-11,2967
Police Service of Northern Ireland,2025-12,2960
Police Service of Northern Ireland,2026-01,3101
Police Service of Northern Ireland,2026-02,3172
Police Service of Northern Ireland,2026-03,3915
South Wales Police,2025-04,1754
South Wales Police,2025-05,1816
South Wales Police,2025-06,1700
South Wales Police,2025-07,1871
South Wales Police,2025-08,1770
South Wales Police,2025-09,1217
South Wales Police,2025-10,1422
South Wales Police,2025-11,1182
South Wales Police,2025-12,890
South Wales Police,2026-01,944
South Wales Police,2026-02,939
South Wales Police,2026-03,1179
South Yorkshire Police,2025-04,2506
South Yorkshire Police,2025-05,2469
South Yorkshire Police,2025-06,2521
South Yorkshire Police,2025-07,2640
South Yorkshire Police,2025-08,2575
South Yorkshire Police,2025-09,2117
South Yorkshire Police,2025-10,2484
South Yorkshire Police,2025-11,1940
South Yorkshire Police,2025-12,1718
South Yorkshire Police,2026-01,1761
South Yorkshire Police,2026-02,1773
South Yorkshire Police,2026-03,2446
Staffordshire Police,2025-04,1385
Staffordshire Police,2025-05,1642
Staffordshire Police,2025-06,1570
Staffordshire Police,2025-07,1671
Staffordshire Police,2025-08,1570
Staffordshire Police,2025-09,1191
Staffordshire Police,2025-10,1260
Staffordshire Police,2025-11,1095
Staffordshire Police,2025-12,987
Staffordshire Police,2026-01,1143
Staffordshire Police,2026-02,1247
Staffordshire Police,2026-03,1554
Suffolk Constabulary,2025-04,362
Suffolk Constabulary,2025-05,369
Suffolk Constabulary,2025-06,434
Suffolk Constabulary,2025-07,470
Suffolk Constabulary,2025-08,451
Suffolk Constabulary,2025-09,405
Suffolk Constabulary,2025-10,361
Suffolk Constabulary,2025-11,235
Suffolk Constabulary,2025-12,222
Suffolk Constabulary,2026-01,240
Suffolk Constabulary,2026-02,277
Suffolk Constabulary,2026-03,290
Surrey Police,2025-04,1168
Surrey Police,2025-05,1368
Surrey Police,2025-06,1315
Surrey Police,2025-07,1432
Surrey Police,2025-08,1353
Surrey Police,2025-09,1204
Surrey Police,2025-10,1211
Surrey Police,2025-11,1002
Surrey Police,2025-12,951
Surrey Police,2026-01,884
Surrey Police,2026-02,833
Surrey Police,2026-03,1103
Sussex Police,2025-04,2427
Sussex Police,2025-05,2553
Sussex Police,2025-06,2645
Sussex Police,2025-07,3148
Sussex Police,2025-08,3047
Sussex Police,2025-09,2418
Sussex Police,2025-10,2382
Sussex Police,2025-11,2100
Sussex Police,2025-12,1756
Sussex Police,2026-01,1919
Sussex Police,2026-02,2315
Sussex Police,2026-03,2999
Thames Valley Police,2025-04,1923
Thames Valley Police,2025-05,2142
Thames Valley Police,2025-06,2166
Thames Valley Police,2025-07,2532
Thames Valley Police,2025-08,2340
Thames Valley Police,2025-09,1650
Thames Valley Police,2025-10,1819
Thames Valley Police,2025-11,1363
Thames Valley Police,2025-12,1174
Thames Valley Police,2026-01,1184
Thames Valley Police,2026-02,1306
Thames Valley Police,2026-03,1722
Warwickshire Police,2025-04,950
Warwickshire Police,2025-05,1011
Warwickshire Police,2025-06,1114
Warwickshire Police,2025-07,1117
Warwickshire Police,2025-08,1329
Warwickshire Police,2025-09,976
Warwickshire Police,2025-10,944
Warwickshire Police,2025-11,847
Warwickshire Police,2025-12,643
Warwickshire Police,2026-01,738
Warwickshire Police,2026-02,766
Warwickshire Police,2026-03,948
West Mercia Police,2025-04,1519
West Mercia Police,2025-05,1520
West Mercia Police,2025-06,1573
West Mercia Police,2025-07,1739
West Mercia Police,2025-08,1601
West Mercia Police,2025-09,1362
West Mercia Police,2025-10,1445
West Mercia Police,2025-11,1204
West Mercia Police,2025-12,1134
West Mercia Police,2026-01,1099
West Mercia Police,2026-02,1086
West Mercia Police,2026-03,1327
West Midlands Police,2025-04,2565
West Midlands Police,2025-05,2477
West Midlands Police,2025-06,2614
West Midlands Police,2025-07,2085
West Midlands Police,2025-08,2016
West Midlands Police,2025-09,1331
West Midlands Police,2025-10,1388
West Midlands Police,2025-11,937
West Midlands Police,2025-12,719
West Midlands Police,2026-01,760
West Midlands Police,2026-02,683
West Midlands Police,2026-03,911
West Yorkshire Police,2025-04,2676
West Yorkshire Police,2025-05,2832
West Yorkshire Police,2025-06,2744
West Yorkshire Police,2025-07,2750
West Yorkshire Police,2025-08,3067
West Yorkshire Police,2025-09,2318
West Yorkshire Police,2025-10,2638
West Yorkshire Police,2025-11,2120
West Yorkshire Police,2025-12,1511
West Yorkshire Police,2026-01,1609
West Yorkshire Police,2026-02,1797
West Yorkshire Police,2026-03,2295
Wiltshire Police,2025-04,896
Wiltshire Police,2025-05,925
Wiltshire Police,2025-06,907
Wiltshire Police,2025-07,1047
Wiltshire Police,2025-08,1047
Wiltshire Police,2025-09,867
Wiltshire Police,2025-10,822
Wiltshire Police,2025-11,706
Wiltshire Police,2025-12,715
Wiltshire Police,2026-01,680
Wiltshire Police,2026-02,705
Wiltshire Police,2026-03,841
