Location,Country,Local authority,Latitude,Longitude,Violence/sexual indicator,ASB indicator,Crime geography,Safety score,Safety confidence,Buy all-flat achieved median,Buy transactions,Buy confidence,Buy affordability score,Rent one-bed modelled average pcm,Rent confidence,Rent affordability score,One-bed buy count,One-bed rent count,Tower signal,Buy market score,Rent market score,Buy stock score,Rent stock score,Local transport score,Local transport confidence,London minutes,London changes,Birmingham minutes,Birmingham changes,National transport score,National confidence,Quiet score,Quiet confidence,Condition score,Condition confidence,Buy screen /100,Rent screen /100,Buy priority /75,Rent priority /75,Serious priority weaknesses,Buy confidence /3,Rent confidence /3,Buy unknowns,Rent unknowns,Buy rank,Rent rank,Shortlist,Qualified via
Middlesbrough,England,Middlesbrough,54.576431,-1.236825,3270,1498,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,2,Medium,85000,183,High,5,499,Medium,5,14,50,Unclear,2,3,1.5,2.5,4,Medium,180,0,175,0,3,Medium,2,Medium,2,Low,55.5,58.5,45,45,0,2,1.8571428571428572,0,0,60,51,Not proposed,
Neath,Wales,Neath Port Talbot,51.664226,-3.803389,1009,319,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,5,Medium,91250,42,Medium,5,498,Medium,5,3,3,Unclear,1,1,1,1,3,High,150,0,165,1,3,Medium,3,Medium,3,Low,66,66,57,57,0,1.8571428571428572,1.8571428571428572,0,0,14,18,Not proposed,
Newcastle upon Tyne,England,Newcastle upon Tyne,54.978011,-1.610189,3596,2989,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,1,Medium,139950,1733,High,1,810,Medium,1,119,124,Unclear,4,4,3.5,3.5,5,High,170,0,185,0,3,Medium,2,Medium,4,Medium,55.5,55.5,39,39,1,2.2857142857142856,2.142857142857143,0,0,61,58,Not proposed,
Newport,Wales,Newport,51.587902,-2.996742,3122,2020,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,2,Medium,128000,541,High,3,696,Medium,1,31,43,Unclear,3,3,2.5,2.5,4,High,100,0,105,0,5,Medium,2,Medium,2,Low,56.5,50.5,39,33,0,2.142857142857143,2,0,0,58,63,Not proposed,
Northampton,England,West Northamptonshire,52.237858,-0.895046,3637,2665,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,1,Medium,150000,717,High,1,748,Medium,1,104,137,Unclear,4,4,3.5,3.5,4,Medium,60,0,60,0,5,Medium,2,Medium,3,Low,53.5,53.5,33,33,1,2,1.8571428571428572,0,0,63,62,Not proposed,
Norwich,England,Norwich,52.628869,1.293307,3200,1530,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,2,Medium,155000,1272,High,1,781,Medium,1,144,112,Unclear,4,4,3.5,3.5,4,Medium,110,0,210,1,4,Medium,4,Medium,5,Medium,66.5,66.5,48,48,0,2.142857142857143,2,0,0,13,15,Not proposed,
Nottingham,England,Nottingham,52.956196,-1.151204,5448,3157,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,1,Medium,140000,1524,High,1,734,Medium,1,225,509,Unclear,5,5,4.5,4.5,5,High,100,0,75,0,5,Medium,2,Medium,4,Medium,62.5,62.5,39,39,1,2.2857142857142856,2.142857142857143,0,0,39,40,Not proposed,
Peterborough,England,Peterborough,52.572509,-0.242498,3013,1510,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,2,Medium,129000,420,High,3,703,Medium,1,91,134,Unclear,4,4,3.5,3.5,4,Medium,50,0,100,0,5,Medium,2,Medium,3,Low,62.5,56.5,42,36,0,2,1.8571428571428572,0,0,37,55,Not proposed,
Plymouth,England,Plymouth,50.370015,-4.142068,4645,2025,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,1,Medium,138500,1343,High,1,703,Medium,1,147,124,Unclear,4,4,3.5,3.5,4,Medium,190,0,205,0,2,Medium,3,Medium,4,Medium,53.5,53.5,39,39,1,2.142857142857143,2,0,0,62,61,Not proposed,
Portsmouth,England,Portsmouth,50.79685,-1.09117,4741,1484,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,2,Medium,165000,541,High,1,900,Medium,1,177,176,Unclear,4,4,3.5,3.5,4,Medium,95,0,165,0,4,Medium,2,Medium,4,Medium,57.5,57.5,39,39,0,2.142857142857143,2,0,0,53,53,Not proposed,
