location_id,topic,url
chesterfield,market,https://www.rightmove.co.uk/property-to-rent/find.html?locationIdentifier=REGION%5E315&minBedrooms=1&maxBedrooms=1&propertyTypes=flat&includeSSTC=true&mustHave=&dontShow=houseShare%2Cretirement&furnishTypes=&keywords=
chesterfield,market,https://los.rightmove.co.uk/typeahead?query=Chesterfield
chesterfield,transport,https://www.nationalrail.co.uk/journey-planner/
chesterfield,transport,https://www.traveline.info/
chesterfield,environment,https://uk-air.defra.gov.uk/data/pcm-data
chesterfield,environment,https://api.os.uk/downloads/v1/products/OpenGreenspace
chesterfield,environment,https://www.gov.uk/government/statistics/english-indices-of-deprivation-2025
coventry,crime,https://api.postcodes.io/places?q=Coventry
coventry,crime,https://api.postcodes.io/postcodes?lon=-1.506857&lat=52.407707&limit=1&radius=2000
coventry,crime,https://data.police.uk/api/crimes-street/all-crime?lat=52.407707&lng=-1.506857&date=2026-07
coventry,crime,https://data.police.uk/docs/method/crime-street/
coventry,buy,https://www.gov.uk/government/statistical-data-sets/price-paid-data-downloads
coventry,rent,https://www.ons.gov.uk/economy/inflationandpriceindices/datasets/priceindexofprivaterentsukmonthlypricestatistics
coventry,rent,https://www.ons.gov.uk/economy/inflationandpriceindices/bulletins/privaterentandhousepricesuk/august2026
coventry,market,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=REGION%5E368&minBedrooms=1&maxBedrooms=1&propertyTypes=flat&includeSSTC=false&mustHave=&dontShow=retirement%2CsharedOwnership&furnishTypes=&keywords=
coventry,market,https://www.rightmove.co.uk/property-to-rent/find.html?locationIdentifier=REGION%5E368&minBedrooms=1&maxBedrooms=1&propertyTypes=flat&includeSSTC=true&mustHave=&dontShow=houseShare%2Cretirement&furnishTypes=&keywords=
coventry,market,https://los.rightmove.co.uk/typeahead?query=Coventry
coventry,transport,https://www.nationalrail.co.uk/journey-planner/
coventry,transport,https://www.traveline.info/
coventry,transport,https://www.tfwm.org.uk/
coventry,environment,https://uk-air.defra.gov.uk/data/pcm-data
coventry,environment,https://api.os.uk/downloads/v1/products/OpenGreenspace
coventry,environment,https://www.gov.uk/government/statistics/english-indices-of-deprivation-2025
darlington,crime,https://api.postcodes.io/places?q=Darlington
